Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
180 N Ada St Unit FL9-ID726 Chicago,IL60607–Fulton Market,1,1,3230,545,5.926605504587156,72,
1446 W Lexington St Unit 2 Chicago,IL60607–Little Italy,2,1,2400,1000,2.4,71,
1513 W Monroe St Chicago,IL60607–West Loop,1,1,2100,,0,75,
306 S Halsted St Unit 6 Chicago,IL60661–West Loop,Studio,1,1750,640,2.734375,89,
130 S Halsted St Unit 1 Chicago,IL60661–West Loop,2,2,3459,1005,3.4417910447761195,90,
1000 W Washington Blvd 1000 W Washington Blvd,Chicago,IL60607–Fulton Market,2,2,2014,539,3.7365491651205938,82,
939 W Madison St Unit 606 Chicago,IL60607–West Loop,1,1,2495,,0,85,
1437 W Taylor St Unit 3 Chicago,IL60607–Little Italy,2,2,2400,,0,70,
205 S Peoria St Chicago,IL60607–West Loop,2,2,4375,,0,86,
235 W Van Buren St Unit 2309 Chicago,IL60607–Chicago Loop,1,1,1900,,0,100,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,,0,100,
739 W Madison St 739 W Madison St,Chicago,IL60661–West Loop,3,3,2089,490,4.263265306122449,92,
939 W Washington Blvd Unit FL8-ID253 Chicago,IL60607–Fulton Market,Studio,1,3000,486,6.172839506172839,87,
501 S Wells St 501 S Wells St,Chicago,IL60607–Chicago Loop,3,2,1750,407,4.2997542997543,100,
354 N Union Ave Unit Deluxe One Bedroom Suite #1.1341718 Chicago,IL60661–West Loop,1,1,12000,700,17.142857142857142,86,
354 N Union Ave Unit Junior Two Bedroom Suite #3.1341701 Chicago,IL60661–West Loop,2,2,14400,850,16.941176470588236,86,
175 N Halsted St 175 N Halsted St,Chicago,IL60661–Fulton Market,2,2,2000,522,3.8314176245210727,87,
37 N Morgan St 37 N Morgan St,Chicago,IL60607–Fulton Market,2,2,2627,622,4.223472668810289,82,
730 W Couch Pl Unit 904.391299 Chicago,IL60661–Fulton Market,Studio,1,2266,522,4.340996168582375,91,
1422 W Lexington St Unit 1 Chicago,IL60607–Little Italy,3,3,3200,,0,72,
801 S Wells St Unit 511 Chicago,IL60607–South Loop,2,2,2400,1000,2.4,100,
The Aberdeen West Loop 20 N Aberdeen St,Chicago,IL60607–West Loop,3,2,2815,835,3.37125748502994,80,
Aberdeen East 171 N Aberdeen St,Chicago,IL60607–West Loop,2,2,2477,810,3.0580246913580247,78,
1223 W Van Buren St Chicago,IL60607–West Loop,1,1,2200,,0,76,
235 W Van Buren St Unit 1417 Chicago,IL60607–Chicago Loop,1,1,2000,,0,100,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,800,3.11875,88,
K2 Apartments 365 N Halsted St,Chicago,IL60661–West Loop,3,3,1928,481,4.008316008316008,86,
1303 W Flournoy St Unit 2R Chicago,IL60607–Little Italy,1,1,1800,,0,71,
715 S Wells St Unit 2302 Chicago,IL60607–South Loop,1,1,2303,,0,100,
719 S Loomis St Unit 1 Chicago,IL60607–Little Italy,3,1,2100,1400,1.5,70,
124 W Polk St Chicago,IL60605–South Loop,2,2,3200,,0,100,
354 N Union Ave Unit Deluxe Two Bedroom Suite #3.1341714 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
1364 W Randolph St Unit 5 Chicago,IL60607–Fulton Market,1,1,2118,562,3.7686832740213525,73,
1530 W Adams St Chicago,IL60607–West Loop,2,1.5,4250,,0,76,
939 W Washington Blvd Unit B-W405.482987 Chicago,IL60607–Fulton Market,1,1,3611,715,5.05034965034965,87,
334 S Wells St Unit 1303 Chicago,IL60606–Chicago Loop,Studio,1,1995,658,3.0319148936170213,100,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,2400,970,2.4742268041237114,100,
1000 W Washington Blvd Unit 301 Chicago,IL60607–Fulton Market,2,2,6400,2300,2.782608695652174,82,
1500 W Monroe St Unit 423 Chicago,IL60607–West Loop,2,2,2850,1355,2.103321033210332,75,
933 W Van Buren St Unit 711 Chicago,IL60607–West Loop,2,2,3000,1250,2.4,82,
1609 Warren Blvd Unit 209 Chicago,IL60612–Near West Side,2,2,2550,,0,75,
X Chicago 710 W 14th St,Chicago,IL60607–University Village,2,2.5,1086,319,3.404388714733542,65,
773 W Adams St 773 W Adams St,Chicago,IL60661–West Loop,2,2,2560,596,4.295302013422819,92,
722 S Wells St Unit 1A-2417 Chicago,IL60607–South Loop,1,1,1975,517,3.8201160541586074,100,
123 S Green St Unit 308B Chicago,IL60607–Fulton Market,2,2,3400,,0,90,
23 N Racine Ave Unit 434 Chicago,IL60607–Fulton Market,3,2,5700,2500,2.28,76,
1040 W Adams St Unit 1 Chicago,IL60607–West Loop,1,1,2400,900,2.6666666666666665,81,
180 N Ada St Unit FL6-ID725 Chicago,IL60607–Fulton Market,1,1,3790,710,5.338028169014085,72,
111 S Morgan St Unit 619 Chicago,IL60607–West Loop,1,1,2450,800,3.0625,86,
611 S Wells St Unit 2008 Chicago,IL60607–South Loop,1,1,2100,,0,100,
1140 N Wells St Unit Executive One Bedroom Suite #4.1341675 Chicago,IL60610–South Loop,1,1,12600,750,16.8,97,
331 S Peoria St Unit 304 Chicago,IL60607–West Loop,2,2,3380,,0,86,
