,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
126,106 N Aberdeen St #2,1.0,3.0,610000,1800.0,338.8888888888889,Other,78.0
127,111 S Peoria St UNIT 504,4.0,4.0,1465000,2488.0,588.8263665594856,Luxury,88.0
131,1449 W Lexington St APT C,3.0,3.0,625600,1520.0,411.57894736842104,Residence,72.0
133,110 N Peoria St UNIT 208,1.0,1.0,369900,1200.0,308.25,Single Family,78.0
134,210 S Des Plaines St #1901,2.0,2.0,475000,1200.0,395.8333333333333,Single Family,78.0
135,2140 W Jackson Blvd #1,1.0,1.0,162100,750.0,216.13333333333333,Single Family,78.0
139,35 S Racine Ave APT 3NW,3.0,2.0,3800,1550.0,2.4516129032258065,Other,78.0
140,106 N Aberdeen St UNIT 4E,2.0,2.0,397100,1170.0,339.4017094017094,Single Family,79.0
142,331 S Peoria St APT 505,2.0,3.0,490000,1600.0,306.25,Single Family,87.0
143,1458 W Monroe St,4.0,4.5,1710000,5600.0,305.35714285714283,Luxury,76.0
145,910 S Bishop St APT 3,2.0,1.0,2500,1200.0,2.0833333333333335,Single Family,78.0
146,11 N Green St UNIT 2D,3.0,3.0,762500,2100.0,363.0952380952381,Residence,90.0
148,701 S Wells St APT 2601,2.0,2.0,420000,1263.0,332.541567695962,Single Family,78.0
149,911 S Miller St APT 3,4.0,2.0,4300,1300.0,3.3076923076923075,Other,78.0
151,910 S Miller St,3.0,3.0,568400,2000.0,284.2,Residence,78.0
152,215 N Aberdeen St UNIT 403B,2.0,2.0,405000,1100.0,368.1818181818182,Single Family,78.0
153,323 S Racine Ave PENTHOUSE D,4.0,4.0,1925000,3103.0,620.3673864002578,Luxury,78.0
154,701 S Wells St APT 904,2.0,2.0,315000,1100.0,286.3636363636364,Single Family,100.0
155,846 S Morgan St,3.0,2.5,528900,2400.0,220.375,Residence,76.0
156,353 N Des Plaines St,1.0,1.0,2252,711.0,3.167369901547117,Single Family,78.0
159,813 S Laflin St,4.0,2.0,410400,1800.0,228.0,Other,72.0
162,847 W Monroe St APT 4A,3.0,2.0,699900,1596.0,438.5338345864662,Residence,78.0
164,167 N Des Plaines St FLOOR 4-ID342,1.0,1.0,2640,650.0,4.061538461538461,Single Family,78.0
165,701 S Wells St APT 903,1.0,1.0,283000,690.0,410.1449275362319,Single Family,100.0
166,1413 W Lexington St,3.0,3.0,602200,2063.0,291.90499272903537,Residence,72.0
167,611 S Wells St APT 1709,1.0,1.0,255000,720.0,354.1666666666667,Single Family,100.0
168,820 S Laflin St,4.0,4.0,620000,2400.0,258.3333333333333,Other,78.0
170,111 S Morgan St APT 707,2.0,2.0,405000,1095.0,369.86301369863014,Single Family,83.0
171,1500 W Monroe St UNIT 123,2.0,1.0,255000,920.0,277.17391304347825,Single Family,75.0
172,1302 W Monroe St,3.0,3.0,868900,2012.0,431.85884691848906,Residence,75.0
174,1224 W Jackson Blvd #1002,2.0,2.0,3529,1041.0,3.3900096061479346,Single Family,78.0
179,856 S Laflin St,4.0,3.0,555000,2490.0,222.89156626506025,Other,72.0
181,331 S Peoria St APT 403,1.0,1.5,305800,1000.0,305.8,Single Family,78.0
182,106 N Aberdeen St UNIT 5D,2.0,2.0,405400,950.0,426.7368421052632,Single Family,79.0
183,1211 W Lexington St,3.0,4.0,590000,2400.0,245.83333333333334,Residence,74.0
184,923 S Bishop St #2,3.0,1.5,2395,1200.0,1.9958333333333333,Other,78.0
185,701 S Wells St APT 2606,3.0,3.0,585000,1652.0,354.11622276029055,Residence,78.0
188,841 S Racine Ave UNIT D,2.0,2.0,391000,1260.0,310.3174603174603,Single Family,74.0
